step,epoch,delay_ms,path_type,switched,delta_delay_ms
86,2025-12-05 06:14:20.000,11.405452728271484,sat,0,
87,2025-12-05 06:14:30.000,11.328441619873047,sat,0,
88,2025-12-05 06:14:40.000,11.25094985961914,sat,0,
89,2025-12-05 06:14:50.000,11.173002243041992,sat,0,
90,2025-12-05 06:15:00.000,11.094623565673828,sat,0,
91,2025-12-05 06:15:10.000,11.015838623046875,sat,0,
92,2025-12-05 06:15:20.000,10.936673164367676,sat,0,
93,2025-12-05 06:15:30.000,10.85715389251709,sat,0,
94,2025-12-05 06:15:40.000,10.777308464050293,sat,0,
95,2025-12-05 06:15:50.000,10.697164535522461,sat,0,
96,2025-12-05 06:16:00.000,10.61674976348877,sat,0,
97,2025-12-05 06:16:10.000,10.536094665527344,sat,0,
98,2025-12-05 06:16:20.000,20.747843742370605,sat,1,10.211749076843262
99,2025-12-05 06:16:30.000,20.58267116546631,sat,0,
100,2025-12-05 06:16:40.000,20.417073249816895,sat,0,
101,2025-12-05 06:16:50.000,20.251112937927246,sat,0,
102,2025-12-05 06:17:00.000,20.08485507965088,sat,0,
103,2025-12-05 06:17:10.000,19.918363571166992,sat,0,
104,2025-12-05 06:17:20.000,19.751707077026367,sat,0,
105,2025-12-05 06:17:30.000,19.584954261779785,sat,0,
106,2025-12-05 06:17:40.000,19.418176651000977,sat,0,
107,2025-12-05 06:17:50.000,19.25144672393799,sat,0,
108,2025-12-05 06:18:00.000,19.084837913513184,sat,0,
109,2025-12-05 06:18:10.000,18.918429374694824,sat,0,
110,2025-12-05 06:18:20.000,18.752297401428223,sat,0,
111,2025-12-05 06:18:30.000,18.586523056030273,sat,0,
112,2025-12-05 06:18:40.000,18.42119026184082,sat,0,
113,2025-12-05 06:18:50.000,18.256381034851074,sat,0,
114,2025-12-05 06:19:00.000,18.09218406677246,sat,0,
115,2025-12-05 06:19:10.000,17.92868995666504,sat,0,
116,2025-12-05 06:19:20.000,17.765987396240234,sat,0,
117,2025-12-05 06:19:30.000,24.37784433364868,sat,1,6.611856937408447
118,2025-12-05 06:19:40.000,24.262481212615967,sat,1,-0.11536312103271484
119,2025-12-05 06:19:50.000,24.189648151397705,sat,0,
120,2025-12-05 06:20:00.000,24.157151699066162,sat,0,
121,2025-12-05 06:20:10.000,23.781785011291504,sat,1,-0.3753666877746582
122,2025-12-05 06:20:20.000,23.6389217376709,sat,0,
123,2025-12-05 06:20:30.000,23.49485683441162,sat,0,
124,2025-12-05 06:20:40.000,23.34963321685791,sat,0,
125,2025-12-05 06:20:50.000,23.203295707702637,sat,0,
126,2025-12-05 06:21:00.000,23.055888175964355,sat,0,
127,2025-12-05 06:21:10.000,22.907455444335938,sat,0,
128,2025-12-05 06:21:20.000,22.75804615020752,sat,0,
129,2025-12-05 06:21:30.000,22.607707023620605,sat,0,
130,2025-12-05 06:21:40.000,22.456488609313965,sat,0,
131,2025-12-05 06:21:50.000,22.304439544677734,sat,0,
132,2025-12-05 06:22:00.000,22.151613235473633,sat,0,
133,2025-12-05 06:22:10.000,21.998062133789062,sat,0,
134,2025-12-05 06:22:20.000,21.843839645385742,sat,0,
135,2025-12-05 06:22:30.000,21.689001083374023,sat,0,
136,2025-12-05 06:22:40.000,21.533605575561523,sat,0,
137,2025-12-05 06:22:50.000,21.37770938873291,sat,0,
138,2025-12-05 06:23:00.000,21.221373558044434,sat,0,
139,2025-12-05 06:23:10.000,21.06465721130371,sat,0,
140,2025-12-05 06:23:20.000,20.907625198364258,sat,0,
141,2025-12-05 06:23:30.000,20.750340461730957,sat,1,-0.15728473663330078
142,2025-12-05 06:23:40.000,20.592869758605957,sat,0,
143,2025-12-05 06:23:50.000,20.43527889251709,sat,0,
144,2025-12-05 06:24:00.000,20.27763843536377,sat,0,
145,2025-12-05 06:24:10.000,20.120018005371094,sat,0,
146,2025-12-05 06:24:20.000,19.962488174438477,sat,0,
147,2025-12-05 06:24:30.000,21.307781219482422,sat,1,1.3452930450439453
148,2025-12-05 06:24:40.000,21.294797897338867,sat,0,
149,2025-12-05 06:24:50.000,21.299628257751465,sat,0,
150,2025-12-05 06:25:00.000,21.143014907836914,sat,1,-0.15661334991455078
151,2025-12-05 06:25:10.000,20.979514122009277,sat,0,
152,2025-12-05 06:25:20.000,20.815420150756836,sat,0,
153,2025-12-05 06:25:30.000,20.650790214538574,sat,0,
154,2025-12-05 06:25:40.000,20.485684394836426,sat,0,
155,2025-12-05 06:25:50.000,20.320162773132324,sat,0,
156,2025-12-05 06:26:00.000,20.15428924560547,sat,0,
157,2025-12-05 06:26:10.000,19.988126754760742,sat,0,
