epoch,delta_delay_ms
2025-12-05 06:00:30.000,11.142085075378418
2025-12-05 06:00:50.000,-4.554062843322754
2025-12-05 06:01:20.000,-0.13181066513061523
2025-12-05 06:02:40.000,-11.920049667358398
2025-12-05 06:07:50.000,-0.08156585693359375
2025-12-05 06:08:30.000,9.507140159606934
2025-12-05 06:10:10.000,6.6328887939453125
2025-12-05 06:10:20.000,-0.1682605743408203
2025-12-05 06:11:20.000,-0.663536548614502
2025-12-05 06:13:00.000,-10.179378509521484
2025-12-05 06:16:20.000,10.211749076843262
2025-12-05 06:19:30.000,6.611856937408447
2025-12-05 06:19:40.000,-0.11536312103271484
2025-12-05 06:20:10.000,-0.3753666877746582
2025-12-05 06:23:30.000,-0.15728473663330078
2025-12-05 06:24:30.000,1.3452930450439453
2025-12-05 06:25:00.000,-0.15661334991455078
2025-12-05 06:28:30.000,-4.378208637237549
2025-12-05 06:28:40.000,-0.07218647003173828
2025-12-05 06:29:00.000,10.696768283843994
2025-12-05 06:32:40.000,-0.1571216583251953
2025-12-05 06:33:40.000,1.331045150756836
2025-12-05 06:34:10.000,-0.13714218139648438
2025-12-05 06:37:40.000,-4.39686393737793
2025-12-05 06:38:20.000,10.469466209411621
2025-12-05 06:41:50.000,-0.15737247467041016
2025-12-05 06:42:50.000,1.3920783996582031
2025-12-05 06:43:20.000,-0.1329355239868164
2025-12-05 06:46:50.000,-4.433777332305908
2025-12-05 06:47:40.000,10.245806217193604
2025-12-05 06:51:00.000,-0.15803241729736328
2025-12-05 06:51:50.000,1.2755937576293945
2025-12-05 06:52:20.000,-0.033898353576660156
2025-12-05 06:56:00.000,-4.36288595199585
2025-12-05 06:56:50.000,9.902108669281006
